Date,Open,High,Low,Close,Adj_Close,Volume
6/1/22,4150,4178,3637,3760,3760,61510880000
5/1/22,4131,4308,3810,4132,4132,89128130000
4/1/22,4540,4593,4124,4132,4132,74784850000
3/1/22,4363,4637,4158,4530,4530,100978320000
2/1/22,4520,4595,4115,4374,4374,73167790000
1/1/22,4778,4819,4223,4516,4516,73279440000
12/1/21,4603,4809,4495,4766,4766,68699830000
11/1/21,4611,4744,4560,4567,4567,67520800000
10/1/21,4317,4608,4279,4605,4605,61874700000
9/1/21,4529,4546,4306,4308,4308,66268850000
8/1/21,4407,4537,4368,4523,4523,63217960000
7/1/21,4301,4430,4233,4395,4395,66496430000
6/1/21,4217,4302,4164,4298,4298,85705180000
5/1/21,4192,4238,4057,4204,4204,75155370000
4/1/21,3993,4219,3993,4181,4181,82869290000
3/1/21,3843,3994,3723,3973,3973,120863560000
2/1/21,3731,3950,3726,3811,3811,98596960000
1/1/21,3765,3871,3663,3714,3714,105548790000
12/1/20,3646,3760,3633,3756,3756,96056410000
11/1/20,3296,3646,3280,3622,3622,100977880000
10/1/20,3386,3550,3234,3270,3270,89737600000
9/1/20,3507,3588,3209,3363,3363,92084120000
8/1/20,3288,3515,3285,3500,3500,84402300000
7/1/20,3106,3280,3101,3271,3271,97197020000
